Genes	monophyletic_group_code	Species
Sjp_0064590, Sjp_0122330	F14525_SCJ_G1	S. japonicum
Sjp_0050170, Sjp_0032890	F14526_SCJ_G1	S. japonicum
Sjp_0011740, Sjp_0011730	F14527_SCJ_G1	S. japonicum
Sjp_0128660, Sjp_0120160	F14528_SCJ_G1	S. japonicum
Sjp_0052310, Sjp_0122510, Sjp_0004270, Sjp_0109690, Sjp_0053810	F14529_SCJ_G1	S. japonicum
Sjp_0048160, Sjp_0034790, Sjp_0040990, Sjp_0006110	F14530_SCJ_G1	S. japonicum
Sjp_0120650, Sjp_0076550, Sjp_0107450, Sjp_0131580	F14531_SCJ_G1	S. japonicum
Sjp_0133870, Sjp_0038680	F14532_SCJ_G1	S. japonicum
Sjp_0087940, Sjp_0116570, Sjp_0133680, Sjp_0073190, Sjp_0122700, Sjp_0077430, Sjp_0113520, Sjp_0109760	F14533_SCJ_G1	S. japonicum
Sjp_0018670, Sjp_0030760, Sjp_0030750, Sjp_0055990, Sjp_0030770	F14534_SCJ_G1	S. japonicum
Sjp_0126130, Sjp_0031760, Sjp_0031740, Sjp_0031770, Sjp_0031780, Sjp_0102480, Sjp_0126150, Sjp_0031730, Sjp_0098160, Sjp_0122780, Sjp_0126750, Sjp_0093510, Sjp_0031790, Sjp_0031800, Sjp_0123960	F14536_SCJ_G1	S. japonicum
Sjp_0076040, Sjp_0133740	F14537_SCJ_G1	S. japonicum
Sjp_0099610, Sjp_0097270, Sjp_0117150	F14538_SCJ_G1	S. japonicum
Sjp_0031750, Sjp_0107050, Sjp_0104860, Sjp_0066100	F14539_SCJ_G1	S. japonicum
Sjp_0024700, Sjp_0115640	F14540_SCJ_G1	S. japonicum
Sjp_0092300, Sjp_0105780	F14541_SCJ_G1	S. japonicum
Sjp_0029450, Sjp_0029440, Sjp_0111100, Sjp_0077760	F14543_SCJ_G1	S. japonicum
Sjp_0022750, Sjp_0102770	F14544_SCJ_G1	S. japonicum
Sjp_0124370, Sjp_0129470, Sjp_0125510, Sjp_0125870, Sjp_0121160, Sjp_0126370, Sjp_0126570, Sjp_0124200, Sjp_0128890, Sjp_0123490, Sjp_0129370, Sjp_0124440, Sjp_0017870, Sjp_0123730	F14545_SCJ_G1	S. japonicum
Sjp_0040730, Sjp_0105050, Sjp_0044110	F14546_SCJ_G1	S. japonicum
Sjp_0123970, Sjp_0038660	F14547_SCJ_G1	S. japonicum
Sjp_0122810, Sjp_0125010, Sjp_0123890, Sjp_0106050	F14548_SCJ_G1	S. japonicum
Sjp_0128350, Sjp_0128210	F14550_SCJ_G1	S. japonicum
Sjp_0120630, Sjp_0029040, Sjp_0120860, Sjp_0029050	F14551_SCJ_G1	S. japonicum
Sjp_0100640, Sjp_0126760	F14552_SCJ_G1	S. japonicum
Sjp_0124450, Sjp_0128030, Sjp_0124380, Sjp_0123630, Sjp_0080510, Sjp_0128800	F14553_SCJ_G1	S. japonicum
Sjp_0044960, Sjp_0120460, Sjp_0044990	F14554_SCJ_G1	S. japonicum
Sjp_0114430, Sjp_0129280	F14556_SCJ_G1	S. japonicum
Sjp_0117160, Sjp_0135100, Sjp_0125980, Sjp_0133890, Sjp_0131930, Sjp_0044430, Sjp_0016820, Sjp_0105100	F14558_SCJ_G1	S. japonicum
Sjp_0125910, Sjp_0119990, Sjp_0126410, Sjp_0125210	F14559_SCJ_G1	S. japonicum
Sjp_0122960, Sjp_0119570, Sjp_0125100	F14560_SCJ_G1	S. japonicum
Sjp_0127480, Sjp_0130280	F14562_SCJ_G1	S. japonicum
Sjp_0105700, Sjp_0119630, Sjp_0119080, Sjp_0063660	F14564_SCJ_G1	S. japonicum
Sjp_0122850, Sjp_0132560	F14565_SCJ_G1	S. japonicum
Sjp_0096210, Sjp_0123370, Sjp_0114170, Sjp_0122420	F14566_SCJ_G1	S. japonicum
Sjp_0069240, Sjp_0088880	F14567_SCJ_G1	S. japonicum
Sjp_0109710, Sjp_0022570	F14568_SCJ_G1	S. japonicum
Sjp_0103510, Sjp_0115990, Sjp_0017090	F14569_SCJ_G1	S. japonicum
Sjp_0123870, Sjp_0125610	F14570_SCJ_G1	S. japonicum
Sjp_0119060, Sjp_0127890, Sjp_0127930	F14571_SCJ_G1	S. japonicum
Sjp_0115860, Sjp_0064010	F14572_SCJ_G1	S. japonicum
Sjp_0115450, Sjp_0119100, Sjp_0102850, Sjp_0104270	F14574_SCJ_G1	S. japonicum
Sjp_0009840, Sjp_0020430, Sjp_0135270, Sjp_0117370, Sjp_0125920	F14575_SCJ_G1	S. japonicum
Sjp_0100960, Sjp_0030730	F14576_SCJ_G1	S. japonicum
Sjp_0097710, Sjp_0133490	F14577_SCJ_G1	S. japonicum
Sjp_0116600, Sjp_0103010, Sjp_0017070, Sjp_0022760, Sjp_0058460	F14578_SCJ_G1	S. japonicum
Sjp_0112270, Sjp_0134860	F14579_SCJ_G1	S. japonicum
Sjp_0036300, Sjp_0094560	F14580_SCJ_G1	S. japonicum
Sjp_0057040, Sjp_0135010	F14581_SCJ_G1	S. japonicum
Sjp_0120270, Sjp_0117450	F14582_SCJ_G1	S. japonicum
Sjp_0118760, Sjp_0124770	F14584_SCJ_G1	S. japonicum
Sjp_0128170, Sjp_0128260	F14586_SCJ_G1	S. japonicum
Sjp_0118470, Sjp_0133550	F14588_SCJ_G1	S. japonicum
Sjp_0049180, Sjp_0122690	F14589_SCJ_G1	S. japonicum
Sjp_0124550, Sjp_0076390, Sjp_0126640, Sjp_0127750	F14590_SCJ_G1	S. japonicum
Sjp_0115330, Sjp_0071400, Sjp_0109540	F14591_SCJ_G1	S. japonicum
Sjp_0118390, Sjp_0037990, Sjp_0033160, Sjp_0041670, Sjp_0033210, Sjp_0004540	F14592_SCJ_G1	S. japonicum
Sjp_0056770, Sjp_0081750	F14593_SCJ_G1	S. japonicum
Sjp_0123250, Sjp_0084040	F14596_SCJ_G1	S. japonicum
Sjp_0044520, Sjp_0097180	F14597_SCJ_G1	S. japonicum
Sjp_0026180, Sjp_0038360	F14598_SCJ_G1	S. japonicum
Sjp_0010610, Sjp_0117480	F14599_SCJ_G1	S. japonicum
Sjp_0099570, Sjp_0095430	F14600_SCJ_G1	S. japonicum
Sjp_0072920, Sjp_0092420, Sjp_0049130	F14601_SCJ_G1	S. japonicum
Sjp_0041700, Sjp_0115630	F14602_SCJ_G1	S. japonicum
Sjp_0125380, Sjp_0130360, Sjp_0125630, Sjp_0119810	F14603_SCJ_G1	S. japonicum
Sjp_0036320, Sjp_0094550	F14604_SCJ_G1	S. japonicum
Sjp_0129620, Sjp_0051870	F14608_SCJ_G1	S. japonicum
Sjp_0133610, Sjp_0118590	F14609_SCJ_G1	S. japonicum
Sjp_0053400, Sjp_0053410	F14610_SCJ_G1	S. japonicum
Sjp_0107110, Sjp_0116440	F14611_SCJ_G1	S. japonicum
Sjp_0006670, Sjp_0006660	F14613_SCJ_G1	S. japonicum
Sjp_0082710, Sjp_0043750	F14616_SCJ_G1	S. japonicum
Sjp_0116670, Sjp_0044890	F14617_SCJ_G1	S. japonicum
Sjp_0062620, Sjp_0032210	F14618_SCJ_G1	S. japonicum
Sjp_0126080, Sjp_0126580	F14619_SCJ_G1	S. japonicum
Sjp_0079110, Sjp_0079090, Sjp_0083590, Sjp_0079100	F14620_SCJ_G1	S. japonicum
Sjp_0077970, Sjp_0113480	F14621_SCJ_G1	S. japonicum
Sjp_0054360, Sjp_0133320	F14622_SCJ_G1	S. japonicum
Sjp_0122870, Sjp_0001810, Sjp_0117690	F14623_SCJ_G1	S. japonicum
Sjp_0117680, Sjp_0107690, Sjp_0107270, Sjp_0116610	F14624_SCJ_G1	S. japonicum
Sjp_0128700, Sjp_0126390	F14626_SCJ_G1	S. japonicum
Sjp_0095490, Sjp_0055560	F14629_SCJ_G1	S. japonicum
Sjp_0132460, Sjp_0117250	F14633_SCJ_G1	S. japonicum
Sjp_0006330, Sjp_0133260	F14635_SCJ_G1	S. japonicum
Sjp_0120670, Sjp_0128470	F14640_SCJ_G1	S. japonicum
Sjp_0109170, Sjp_0119110, Sjp_0001990	F14641_SCJ_G1	S. japonicum
Sjp_0057380, Sjp_0057370	F14643_SCJ_G1	S. japonicum
Sjp_0038950, Sjp_0038930	F14647_SCJ_G1	S. japonicum
Sjp_0002120, Sjp_0125840	F22830_SCJ_G1	S. japonicum
Sjp_0083810, Sjp_0095470	F23027_SCJ_G1	S. japonicum
Sjp_0112290, Sjp_0095510, Sjp_0071250, Sjp_0115710, Sjp_0009480, Sjp_0083180, Sjp_0112040, Sjp_0105160, Sjp_0082490, Sjp_0132220	F23187_SCJ_G1	S. japonicum
Sjp_0099250, Sjp_0090700	F23333_SCJ_G1	S. japonicum
Sjp_0031590, Sjp_0031570	F23408_SCJ_G1	S. japonicum
Sjp_0133700, Sjp_0027490	F23641_SCJ_G1	S. japonicum
Sjp_0110090, Sjp_0054460	F23649_SCJ_G1	S. japonicum
Sjp_0001310, Sjp_0110220	F23802_SCJ_G1	S. japonicum
Sjp_0004640, Sjp_0004650	F24068_SCJ_G1	S. japonicum
Sjp_0077120, Sjp_0131900, Sjp_0077140	F24243_SCJ_G1	S. japonicum
Sjp_0099320, Sjp_0112140, Sjp_0062150, Sjp_0087230, Sjp_0119800, Sjp_0120220, Sjp_0019320, Sjp_0109440	F24566_SCJ_G1	S. japonicum
Sjp_0115250, Sjp_0058940	F24569_SCJ_G1	S. japonicum
Sjp_0068880, Sjp_0078590	F24705_SCJ_G1	S. japonicum
Sjp_0083280, Sjp_0119970, Sjp_0070760, Sjp_0120830, Sjp_0133910	F24891_SCJ_G1	S. japonicum
Sjp_0036820, Sjp_0132490	F24908_SCJ_G1	S. japonicum
Smp_313740, Smp_332670	F231_SCM_G1	S. mansoni
Smp_331650, Smp_332860	F367_SCM_G1	S. mansoni
Smp_101230, Smp_316680	F369_SCM_G1	S. mansoni
Smp_300190, Smp_300990, Smp_332980	F461_SCM_G1	S. mansoni
Smp_325420, Smp_005720	F461_SCM_G2	S. mansoni
Smp_316650, Smp_324800	F797_SCM_G1	S. mansoni
Smp_316130, Smp_312560, Smp_316120	F7223_SCM_G1	S. mansoni
Smp_316030, Smp_329340	F8565_SCM_G1	S. mansoni
Smp_337430, Smp_346360	F12887_SCM_G1	S. mansoni
Smp_045070, Smp_301600	F12890_SCM_G1	S. mansoni
Smp_175200, Smp_319600	F12913_SCM_G1	S. mansoni
Smp_309060, Smp_315260	F13161_SCM_G1	S. mansoni
Smp_308630, Smp_332420	F13950_SCM_G1	S. mansoni
Smp_326550, Smp_326560, Smp_335310, Smp_317010	F14059_SCM_G1	S. mansoni
Smp_146440, Smp_320560	F14063_SCM_G1	S. mansoni
Smp_000390, Smp_332530	F14075_SCM_G1	S. mansoni
Smp_043300, Smp_134460	F14079_SCM_G1	S. mansoni
Smp_128520, Smp_128530	F14091_SCM_G1	S. mansoni
Smp_303670, Smp_133860	F14092_SCM_G1	S. mansoni
Smp_319060, Smp_329860	F14094_SCM_G1	S. mansoni
Smp_048050, Smp_049230	F14096_SCM_G1	S. mansoni
Smp_315070, Smp_305550	F14106_SCM_G1	S. mansoni
Smp_303350, Smp_323350, Smp_323360	F14113_SCM_G1	S. mansoni
Smp_346160, Smp_328240	F14123_SCM_G1	S. mansoni
Smp_077890, Smp_112450	F14130_SCM_G1	S. mansoni
Smp_302290, Smp_302270, Smp_302280, Smp_302320, Smp_302340	F14136_SCM_G1	S. mansoni
Smp_306920, Smp_306930	F14144_SCM_G1	S. mansoni
Smp_320960, Smp_323790	F14177_SCM_G1	S. mansoni
Smp_085490, Smp_307520	F14193_SCM_G1	S. mansoni
Smp_169960, Smp_314140	F14197_SCM_G1	S. mansoni
Smp_302810, Smp_314020	F14204_SCM_G1	S. mansoni
Smp_327240, Smp_328890	F14210_SCM_G1	S. mansoni
Smp_307460, Smp_307470	F14210_SCM_G2	S. mansoni
Smp_324940, Smp_327220, Smp_327230	F14210_SCM_G3	S. mansoni
Smp_328140, Smp_327070, Smp_303860, Smp_328150	F14212_SCM_G1	S. mansoni
Smp_156850, Smp_321010, Smp_321000, Smp_327130	F14232_SCM_G1	S. mansoni
Smp_336840, Smp_336850	F14243_SCM_G1	S. mansoni
Smp_309250, Smp_332440	F14249_SCM_G1	S. mansoni
Smp_310150, Smp_327450, Smp_327460, Smp_327470	F14250_SCM_G1	S. mansoni
Smp_054320, Smp_303570	F14256_SCM_G1	S. mansoni
Smp_075500, Smp_316820	F14258_SCM_G1	S. mansoni
Smp_319340, Smp_184350	F14283_SCM_G1	S. mansoni
Smp_015480, Smp_304450	F14293_SCM_G1	S. mansoni
Smp_312140, Smp_332410	F14304_SCM_G1	S. mansoni
Smp_331770, Smp_334360	F14307_SCM_G1	S. mansoni
Smp_328450, Smp_328470, Smp_335360	F14308_SCM_G1	S. mansoni
Smp_314170, Smp_303010, Smp_335930, Smp_335780, Smp_316790, Smp_332150	F14313_SCM_G1	S. mansoni
Smp_242930, Smp_266810	F14328_SCM_G1	S. mansoni
Smp_314730, Smp_315110	F14346_SCM_G1	S. mansoni
Smp_124890, Smp_173360	F14353_SCM_G1	S. mansoni
Smp_326220, Smp_308690, Smp_326230, Smp_308700	F14361_SCM_G1	S. mansoni
Smp_303770, Smp_318850	F14366_SCM_G1	S. mansoni
Smp_333930, Smp_334170, Smp_334240	F14384_SCM_G1	S. mansoni
Smp_148820, Smp_312580, Smp_332640	F14401_SCM_G1	S. mansoni
Smp_245390, Smp_334270, Smp_335410, Smp_334520, Smp_334590, Smp_334350, Smp_112110, Smp_335450, Smp_335420, Smp_335440, Smp_335430, Smp_334690, Smp_334660	F14402_SCM_G1	S. mansoni
Smp_300790, Smp_332960	F14414_SCM_G1	S. mansoni
Smp_129550, Smp_129580	F14415_SCM_G1	S. mansoni
Smp_317580, Smp_327100	F14420_SCM_G1	S. mansoni
Smp_091750, Smp_303370	F14426_SCM_G1	S. mansoni
Smp_204880, Smp_308300	F14428_SCM_G1	S. mansoni
Smp_323230, Smp_323250, Smp_337720, Smp_323300	F14444_SCM_G1	S. mansoni
Smp_190540, Smp_122320, Smp_132360, Smp_185870, Smp_161690, Smp_132110, Smp_170190, Smp_150000, Smp_337690, Smp_147130, Smp_337680, Smp_174460, Smp_160990, Smp_193940, Smp_173310, Smp_160980, Smp_190710, Smp_132960, Smp_175080	F14447_SCM_G1	S. mansoni
Smp_029970, Smp_307430	F14448_SCM_G1	S. mansoni
Smp_070030, Smp_303250	F14455_SCM_G1	S. mansoni
Smp_099090, Smp_333000, Smp_306350	F14457_SCM_G1	S. mansoni
Smp_344710, Smp_330740, Smp_334620	F14459_SCM_G1	S. mansoni
Smp_300070, Smp_300080	F14462_SCM_G1	S. mansoni
Smp_162810, Smp_325120	F14472_SCM_G1	S. mansoni
Smp_303260, Smp_303280	F14475_SCM_G1	S. mansoni
Smp_312950, Smp_316020	F14480_SCM_G1	S. mansoni
Smp_305590, Smp_314800, Smp_305620	F14485_SCM_G1	S. mansoni
Smp_300370, Smp_332780	F14489_SCM_G1	S. mansoni
Smp_327950, Smp_333830	F14490_SCM_G1	S. mansoni
Smp_307450, Smp_311660, Smp_337730, Smp_311670	F14491_SCM_G1	S. mansoni
Smp_311150, Smp_311940	F14493_SCM_G1	S. mansoni
Smp_310040, Smp_310050	F14494_SCM_G1	S. mansoni
Smp_337820, Smp_318370, Smp_166730, Smp_337810	F14496_SCM_G1	S. mansoni
Smp_301550, Smp_326730	F14497_SCM_G1	S. mansoni
Smp_093790, Smp_312650	F14499_SCM_G1	S. mansoni
Smp_332230, Smp_142860, Smp_336380	F14511_SCM_G1	S. mansoni
Smp_309710, Smp_309720	F14535_SCM_G1	S. mansoni
Smp_305460, Smp_314790	F14542_SCM_G1	S. mansoni
Smp_324850, Smp_341970	F14573_SCM_G1	S. mansoni
Smp_117390, Smp_331940	F14612_SCM_G1	S. mansoni
Smp_319420, Smp_319460, Smp_319440, Smp_319450, Smp_319430	F14613_SCM_G1	S. mansoni
Smp_019460, Smp_132800	F14614_SCM_G1	S. mansoni
Smp_131840, Smp_303320	F14645_SCM_G1	S. mansoni
Smp_309500, Smp_309510, Smp_335880, Smp_134720	F14655_SCM_G1	S. mansoni
Smp_326590, Smp_000370	F14657_SCM_G1	S. mansoni
Smp_137700, Smp_303620, Smp_028870	F14662_SCM_G1	S. mansoni
Smp_247700, Smp_043600	F14667_SCM_G1	S. mansoni
Smp_318820, Smp_330120, Smp_056460	F14669_SCM_G1	S. mansoni
Smp_347590, Smp_071590	F14671_SCM_G1	S. mansoni
Smp_078490, Smp_139450	F14672_SCM_G1	S. mansoni
Smp_084180, Smp_320810	F14674_SCM_G1	S. mansoni
Smp_327370, Smp_321120, Smp_085410	F14675_SCM_G1	S. mansoni
Smp_088700, Smp_170420	F14676_SCM_G1	S. mansoni
Smp_322880, Smp_111800	F14678_SCM_G1	S. mansoni
Smp_245630, Smp_111980, Smp_200060, Smp_204150	F14679_SCM_G1	S. mansoni
Smp_122630, Smp_326790	F14680_SCM_G1	S. mansoni
Smp_128830, Smp_173920, Smp_128820, Smp_124150, Smp_165300, Smp_165180, Smp_186920, Smp_167530	F14681_SCM_G1	S. mansoni
Smp_134060, Smp_326850	F14682_SCM_G1	S. mansoni
Smp_130720, Smp_131750	F14683_SCM_G1	S. mansoni
Smp_345180, Smp_324250, Smp_131490, Smp_131470	F14684_SCM_G1	S. mansoni
Smp_316200, Smp_340550, Smp_137250	F14686_SCM_G1	S. mansoni
Smp_325630, Smp_325620, Smp_138000	F14687_SCM_G1	S. mansoni
Smp_138080, Smp_138060	F14688_SCM_G1	S. mansoni
Smp_329270, Smp_149750, Smp_329280	F14691_SCM_G1	S. mansoni
Smp_152290, Smp_152280	F14692_SCM_G1	S. mansoni
Smp_152590, Smp_330210	F14693_SCM_G1	S. mansoni
Smp_159800, Smp_159830	F14695_SCM_G1	S. mansoni
Smp_313710, Smp_160250, Smp_316760	F14696_SCM_G1	S. mansoni
Smp_173160, Smp_343980	F14701_SCM_G1	S. mansoni
Smp_336990, Smp_180310, Smp_345100	F14703_SCM_G1	S. mansoni
Smp_180780, Smp_193400	F14704_SCM_G1	S. mansoni
Smp_191670, Smp_317730	F14705_SCM_G1	S. mansoni
Smp_191970, Smp_307500	F14706_SCM_G1	S. mansoni
Smp_200820, Smp_200840, Smp_200850	F14708_SCM_G1	S. mansoni
Smp_331590, Smp_243740	F14709_SCM_G1	S. mansoni
Smp_302220, Smp_326580	F14711_SCM_G1	S. mansoni
Smp_302350, Smp_303690	F14712_SCM_G1	S. mansoni
Smp_314670, Smp_303450	F14713_SCM_G1	S. mansoni
Smp_306680, Smp_337500, Smp_330270, Smp_317170, Smp_317160, Smp_318060	F14716_SCM_G1	S. mansoni
Smp_324080, Smp_306740, Smp_306750	F14717_SCM_G1	S. mansoni
Smp_307240, Smp_307220	F14718_SCM_G1	S. mansoni
Smp_309570, Smp_309580	F14719_SCM_G1	S. mansoni
Smp_327910, Smp_310740, Smp_327920	F14720_SCM_G1	S. mansoni
Smp_348010, Smp_348020, Smp_313480, Smp_348000, Smp_348030	F14722_SCM_G1	S. mansoni
Smp_337100, Smp_315060	F14723_SCM_G1	S. mansoni
Smp_315230, Smp_317430, Smp_331240, Smp_331230	F14724_SCM_G1	S. mansoni
Smp_316170, Smp_316140, Smp_316160, Smp_316150	F14725_SCM_G1	S. mansoni
Smp_316250, Smp_337070, Smp_316220	F14726_SCM_G1	S. mansoni
Smp_331120, Smp_316490, Smp_341290	F14727_SCM_G1	S. mansoni
Smp_316860, Smp_319970	F14728_SCM_G1	S. mansoni
Smp_329690, Smp_317120	F14729_SCM_G1	S. mansoni
Smp_330310, Smp_317200, Smp_330300, Smp_317190	F14730_SCM_G1	S. mansoni
Smp_325310, Smp_317490	F14731_SCM_G1	S. mansoni
Smp_347320, Smp_317520, Smp_318580	F14732_SCM_G1	S. mansoni
Smp_317590, Smp_327090	F14733_SCM_G1	S. mansoni
Smp_317790, Smp_317780	F14734_SCM_G1	S. mansoni
Smp_317870, Smp_317860	F14735_SCM_G1	S. mansoni
Smp_317900, Smp_336880	F14736_SCM_G1	S. mansoni
Smp_317980, Smp_317970	F14737_SCM_G1	S. mansoni
Smp_318020, Smp_318050, Smp_318100, Smp_318070, Smp_318040, Smp_318090, Smp_318080, Smp_335540	F14738_SCM_G1	S. mansoni
Smp_318350, Smp_318340	F14739_SCM_G1	S. mansoni
Smp_327040, Smp_318440	F14740_SCM_G1	S. mansoni
Smp_318880, Smp_329140	F14741_SCM_G1	S. mansoni
Smp_318890, Smp_318920	F14742_SCM_G1	S. mansoni
Smp_324420, Smp_319020	F14743_SCM_G1	S. mansoni
Smp_319290, Smp_323270, Smp_323320	F14744_SCM_G1	S. mansoni
Smp_330980, Smp_323240, Smp_319300, Smp_330990, Smp_331020, Smp_331000, Smp_331010, Smp_323280	F14745_SCM_G1	S. mansoni
Smp_319560, Smp_319550, Smp_319590	F14746_SCM_G1	S. mansoni
Smp_319700, Smp_319690	F14747_SCM_G1	S. mansoni
Smp_319780, Smp_344070, Smp_319770	F14748_SCM_G1	S. mansoni
Smp_319930, Smp_319940	F14749_SCM_G1	S. mansoni
Smp_319950, Smp_320000, Smp_320030	F14750_SCM_G1	S. mansoni
Smp_324330, Smp_320820, Smp_324350, Smp_324340	F14752_SCM_G1	S. mansoni
Smp_329050, Smp_320880, Smp_335400	F14753_SCM_G1	S. mansoni
Smp_321090, Smp_340840	F14754_SCM_G1	S. mansoni
Smp_329810, Smp_321200	F14755_SCM_G1	S. mansoni
Smp_330890, Smp_321480	F14756_SCM_G1	S. mansoni
Smp_347250, Smp_321790	F14757_SCM_G1	S. mansoni
Smp_323200, Smp_330960, Smp_323170, Smp_330940, Smp_323180	F14758_SCM_G1	S. mansoni
Smp_323190, Smp_330950	F14759_SCM_G1	S. mansoni
Smp_344370, Smp_323740	F14761_SCM_G1	S. mansoni
Smp_324300, Smp_324560	F14762_SCM_G1	S. mansoni
Smp_328460, Smp_328440, Smp_324820	F14763_SCM_G1	S. mansoni
Smp_325560, Smp_325580, Smp_325550	F14764_SCM_G1	S. mansoni
Smp_325690, Smp_325700	F14765_SCM_G1	S. mansoni
Smp_326470, Smp_326480, Smp_326450, Smp_326460	F14766_SCM_G1	S. mansoni
Smp_327700, Smp_327710	F14767_SCM_G1	S. mansoni
Smp_328490, Smp_328480	F14768_SCM_G1	S. mansoni
Smp_328510, Smp_328520	F14769_SCM_G1	S. mansoni
Smp_328810, Smp_330130	F14771_SCM_G1	S. mansoni
Smp_328820, Smp_344470	F14772_SCM_G1	S. mansoni
Smp_330060, Smp_330070, Smp_330100, Smp_330080	F14773_SCM_G1	S. mansoni
Smp_330700, Smp_330750	F14774_SCM_G1	S. mansoni
Smp_344300, Smp_330900	F14775_SCM_G1	S. mansoni
Smp_335490, Smp_335470, Smp_335480, Smp_335510, Smp_330910, Smp_335460	F14776_SCM_G1	S. mansoni
Smp_331140, Smp_331130	F14777_SCM_G1	S. mansoni
Smp_331150, Smp_331180	F14778_SCM_G1	S. mansoni
Smp_331250, Smp_336290	F14779_SCM_G1	S. mansoni
Smp_331340, Smp_331320	F14780_SCM_G1	S. mansoni
Smp_175230, Smp_321180	F15491_SCM_G1	S. mansoni
Smp_310770, Smp_332290	F15742_SCM_G1	S. mansoni
Smp_179250, Smp_247760	F19748_SCM_G1	S. mansoni
Smp_311780, Smp_311790	F21523_SCM_G1	S. mansoni
Smp_300440, Smp_330010, Smp_332090	F21564_SCM_G1	S. mansoni
Smp_125360, Smp_325320	F21571_SCM_G1	S. mansoni
Smp_311580, Smp_346050, Smp_322580, Smp_315990	F21621_SCM_G1	S. mansoni
Smp_194930, Smp_321650	F21635_SCM_G1	S. mansoni
Smp_304140, Smp_314620	F21720_SCM_G1	S. mansoni
Smp_301320, Smp_309240	F22672_SCM_G1	S. mansoni
Smp_155020, Smp_321350	F22691_SCM_G1	S. mansoni
Smp_093780, Smp_322080	F22699_SCM_G1	S. mansoni
Smp_312610, Smp_312620	F22833_SCM_G1	S. mansoni
Smp_185930, Smp_190740	F23044_SCM_G1	S. mansoni
Smp_303390, Smp_302170, Smp_303400, Smp_303550, Smp_303410, Smp_302180, Smp_303420	F23234_SCM_G1	S. mansoni
Smp_315420, Smp_316270	F23247_SCM_G1	S. mansoni
Smp_079010, Smp_332730	F23251_SCM_G1	S. mansoni
Smp_131580, Smp_314110	F23277_SCM_G1	S. mansoni
Smp_306860, Smp_333010	F23316_SCM_G1	S. mansoni
Smp_068480, Smp_303580	F23332_SCM_G1	S. mansoni
Smp_020590, Smp_325190	F23348_SCM_G1	S. mansoni
Smp_314200, Smp_317150	F23398_SCM_G1	S. mansoni
Smp_300770, Smp_318150	F23402_SCM_G1	S. mansoni
Smp_309950, Smp_309960	F23436_SCM_G1	S. mansoni
Smp_321580, Smp_341990	F23485_SCM_G1	S. mansoni
Smp_047680, Smp_311630, Smp_311640	F23576_SCM_G1	S. mansoni
Smp_054730, Smp_318730	F23587_SCM_G1	S. mansoni
Smp_033990, Smp_316290	F23595_SCM_G1	S. mansoni
Smp_140530, Smp_332200	F23621_SCM_G1	S. mansoni
Smp_096720, Smp_301980	F23629_SCM_G1	S. mansoni
Smp_266800, Smp_311350	F23650_SCM_G1	S. mansoni
Smp_178360, Smp_323490, Smp_323510, Smp_323500	F23654_SCM_G1	S. mansoni
Smp_144140, Smp_314120	F23667_SCM_G1	S. mansoni
Smp_031560, Smp_309870	F23675_SCM_G1	S. mansoni
Smp_051300, Smp_307050	F23688_SCM_G1	S. mansoni
Smp_210630, Smp_301290	F23704_SCM_G1	S. mansoni
Smp_301920, Smp_314630	F23721_SCM_G1	S. mansoni
Smp_304660, Smp_306210	F23735_SCM_G1	S. mansoni
Smp_306970, Smp_309700	F23741_SCM_G1	S. mansoni
Smp_311890, Smp_315980	F23762_SCM_G1	S. mansoni
Smp_306290, Smp_306300	F23789_SCM_G1	S. mansoni
Smp_305920, Smp_308350	F23798_SCM_G1	S. mansoni
Smp_064320, Smp_309930	F23800_SCM_G1	S. mansoni
Smp_327500, Smp_331990	F23815_SCM_G1	S. mansoni
Smp_122820, Smp_327530	F23819_SCM_G1	S. mansoni
Smp_245970, Smp_321400	F23824_SCM_G1	S. mansoni
Smp_323800, Smp_323820	F23859_SCM_G1	S. mansoni
Smp_307540, Smp_307550	F23889_SCM_G1	S. mansoni
Smp_214060, Smp_307440	F23902_SCM_G1	S. mansoni
Smp_321540, Smp_326430	F23904_SCM_G1	S. mansoni
Smp_032120, Smp_139580	F23956_SCM_G1	S. mansoni
Smp_002230, Smp_300470	F23965_SCM_G1	S. mansoni
Smp_212140, Smp_321430	F23990_SCM_G1	S. mansoni
Smp_317230, Smp_317250, Smp_317220, Smp_344740	F24068_SCM_G1	S. mansoni
Smp_309660, Smp_309670	F24083_SCM_G1	S. mansoni
Smp_161500, Smp_307360	F24087_SCM_G1	S. mansoni
Smp_301340, Smp_305800	F24095_SCM_G1	S. mansoni
Smp_244750, Smp_347650	F24151_SCM_G1	S. mansoni
Smp_245890, Smp_311520	F24151_SCM_G2	S. mansoni
Smp_040350, Smp_329840	F24166_SCM_G1	S. mansoni
Smp_196480, Smp_303520	F24194_SCM_G1	S. mansoni
Smp_210770, Smp_315050	F24195_SCM_G1	S. mansoni
Smp_021590, Smp_303680	F24204_SCM_G1	S. mansoni
Smp_309480, Smp_314640	F24217_SCM_G1	S. mansoni
Smp_067060, Smp_103610	F24243_SCM_G1	S. mansoni
Smp_317670, Smp_342590	F24244_SCM_G1	S. mansoni
Smp_163110, Smp_303380	F24247_SCM_G1	S. mansoni
Smp_321310, Smp_331810	F24249_SCM_G1	S. mansoni
Smp_302610, Smp_329620	F24260_SCM_G1	S. mansoni
